Record_Type,profile_id,profile_name,profile_run_key,profile_start_time,profile_end_time,profile_execution_Time,rows_Processed,run_status,runCostInMB,Key_PID_RKEY
Previous Run,261f6c52-048c-4ea8-92bd-e0b1517b27eb,SD_2,2,2023-01-19 05:58:33,2023-01-19 06:00:10,96.426,22,COMPLETED,0.16788196563720703,261f6c52-048c-4ea8-92bd-e0b1517b27eb2
Previous Run - 1,261f6c52-048c-4ea8-92bd-e0b1517b27eb,SD_2,1,2023-01-19 01:57:04,2023-01-19 02:00:57,232.601,22,COMPLETED,0.1656484603881836,261f6c52-048c-4ea8-92bd-e0b1517b27eb1
Latest Run,c5acbe4e-b8fe-4909-bfe7-75a2986b12b2,SD_Profiling,1,2023-01-17 06:33:55,2023-01-17 06:35:23,88.144,100,COMPLETED,0.2381124496459961,c5acbe4e-b8fe-4909-bfe7-75a2986b12b21
Latest Run,fb12d6be-3455-4975-8f1e-1e334ad06355,SD_SF1,1,2023-01-22 10:06:08,2023-01-22 10:07:34,85.342,1,COMPLETED,0.09946823120117188,fb12d6be-3455-4975-8f1e-1e334ad063551
Latest Run,9de276d0-a6a3-4bd2-8234-7707777e4e3b,SF_ACC,4,2023-01-23 02:27:19,2023-01-23 02:29:39,140.123,1920,COMPLETED,0.6763067245483398,9de276d0-a6a3-4bd2-8234-7707777e4e3b4
Previous Run,9de276d0-a6a3-4bd2-8234-7707777e4e3b,SF_ACC,3,2023-01-23 02:06:49,2023-01-23 02:11:06,256.459,1920,COMPLETED,0.6763067245483398,9de276d0-a6a3-4bd2-8234-7707777e4e3b3
Previous Run - 1,9de276d0-a6a3-4bd2-8234-7707777e4e3b,SF_ACC,2,2023-01-22 13:45:16,2023-01-22 13:46:35,79.251,1920,COMPLETED,0.644984245300293,9de276d0-a6a3-4bd2-8234-7707777e4e3b2
Previous Run - 2,9de276d0-a6a3-4bd2-8234-7707777e4e3b,SF_ACC,1,2023-01-22 13:35:56,2023-01-22 13:37:27,90.908,1920,COMPLETED,0.6632680892944336,9de276d0-a6a3-4bd2-8234-7707777e4e3b1
Latest Run,8ea73777-8f18-45f8-83e9-f373d60ffb77,SF_Account_Profile,2,2023-01-23 08:49:25,2023-01-23 08:51:17,111.641,1920,COMPLETED,0.6709165573120117,8ea73777-8f18-45f8-83e9-f373d60ffb772
Previous Run,8ea73777-8f18-45f8-83e9-f373d60ffb77,SF_Account_Profile,1,2023-01-23 07:27:48,2023-01-23 07:29:40,112.781,1920,COMPLETED,0.6758546829223633,8ea73777-8f18-45f8-83e9-f373d60ffb771
Latest Run,901a36e0-0078-487e-806e-5c37ed6d9ee2,SF_Opp,1,2023-01-22 13:48:46,2023-01-22 13:50:02,76.939,208,COMPLETED,0.22227954864501953,901a36e0-0078-487e-806e-5c37ed6d9ee21
Latest Run,106a1c20-64fa-4bb3-beeb-69965b449288,sp_Profile,2,2021-09-29 17:31:02,2021-09-29 17:32:46,103.884,347,COMPLETED,0.025986671447753906,106a1c20-64fa-4bb3-beeb-69965b4492882
Previous Run,106a1c20-64fa-4bb3-beeb-69965b449288,sp_Profile,1,2021-09-29 17:28:37,2021-09-29 17:30:28,111.263,1,COMPLETED,0.0022220611572265625,106a1c20-64fa-4bb3-beeb-69965b4492881
Latest Run,90db6257-3fbf-4987-b4a7-5c7501e997a4,testing,1,2021-04-27 15:33:36,2021-04-27 15:34:38,62.222,1,COMPLETED,0.0074367523193359375,90db6257-3fbf-4987-b4a7-5c7501e997a41
